County,long,lat,group,order,State,sregion
Graham,-109.303154,32.82475281,72,3548,Arizona,Tucson
Graham,-83.71485901,35.2942009,1896,56441,Arizona,Tucson
Graham,-109.9219513,33.58678436,72,3528,Arizona,Tucson
Graham,-83.90966797,35.23690414,1896,56446,Arizona,Tucson
Graham,-109.5208817,33.64408112,72,3542,Arizona,Tucson
Graham,-110.4605331,33.20290375,72,3563,Arizona,Tucson
Graham,-110.4490738,33.35760117,72,3568,Arizona,Tucson
Graham,-109.2286758,32.69297028,72,3549,Arizona,Tucson
Graham,-109.2286758,32.48097992,72,3555,Arizona,Tucson
Graham,-84.01280212,35.24836349,1896,56450,Arizona,Tucson
Graham,-109.497963,33.07112503,72,3546,Arizona,Tucson
Graham,-84.0185318,35.31138992,1896,56453,Arizona,Tucson
Graham,-83.69767761,35.43743896,1896,56428,Arizona,Tucson
Graham,-109.1885681,32.42368317,72,3557,Arizona,Tucson
Graham,-110.4032364,33.19717407,72,3565,Arizona,Tucson
Graham,-109.7271423,33.5352211,72,3537,Arizona,Tucson
Graham,-83.70339966,35.31138992,1896,56440,Arizona,Tucson
Graham,-109.2344055,32.53827286,72,3554,Arizona,Tucson
Graham,-83.92685699,35.44890213,1896,56422,Arizona,Tucson
